city,country,date,ibgeID,newCases,state,totalCases
São Paulo/SP,Brazil,2020-02-25,3550308,1.0,SP,1
São Paulo/SP,Brazil,2020-02-29,3550308,1.0,SP,2
São Paulo/SP,Brazil,2020-03-04,3550308,1.0,SP,3
São Paulo/SP,Brazil,2020-03-05,3550308,3.0,SP,6
Barra Mansa/RJ,Brazil,2020-03-05,3300407,1.0,RJ,1
Vila Velha/ES,Brazil,2020-03-05,3205200,1.0,ES,1
São Paulo/SP,Brazil,2020-03-06,3550308,4.0,SP,10
Feira de Santana/BA,Brazil,2020-03-06,2910800,1.0,BA,1
Barra Mansa/RJ,Brazil,2020-03-06,3300407,0.0,RJ,1
Vila Velha/ES,Brazil,2020-03-06,3205200,0.0,ES,1
Vila Velha/ES,Brazil,2020-03-07,3205200,0.0,ES,1
Brasília/DF,Brazil,2020-03-07,5300108,1.0,DF,1
Barra Mansa/RJ,Brazil,2020-03-07,3300407,0.0,RJ,1
Feira de Santana/BA,Brazil,2020-03-07,2910800,1.0,BA,2
São Paulo/SP,Brazil,2020-03-07,3550308,3.0,SP,13
Rio de Janeiro/RJ,Brazil,2020-03-07,3304557,1.0,RJ,1
São Paulo/SP,Brazil,2020-03-08,3550308,2.0,SP,15
Rio de Janeiro/RJ,Brazil,2020-03-08,3304557,1.0,RJ,2
Maceió/AL,Brazil,2020-03-08,2704302,1.0,AL,1
Santana de Parnaíba/SP,Brazil,2020-03-08,3547304,1.0,SP,1
Barra Mansa/RJ,Brazil,2020-03-08,3300407,0.0,RJ,1
Vila Velha/ES,Brazil,2020-03-08,3205200,0.0,ES,1
Feira de Santana/BA,Brazil,2020-03-08,2910800,0.0,BA,2
Brasília/DF,Brazil,2020-03-08,5300108,0.0,DF,1
Feira de Santana/BA,Brazil,2020-03-09,2910800,0.0,BA,2
Divinópolis/MG,Brazil,2020-03-09,3122306,0.0,MG,1
Maceió/AL,Brazil,2020-03-09,2704302,0.0,AL,1
Brasília/DF,Brazil,2020-03-09,5300108,0.0,DF,1
Vila Velha/ES,Brazil,2020-03-09,3205200,0.0,ES,1
Santana de Parnaíba/SP,Brazil,2020-03-09,3547304,0.0,SP,1
São Paulo/SP,Brazil,2020-03-09,3550308,0.0,SP,15
Niterói/RJ,Brazil,2020-03-09,3303302,1.0,RJ,1
Rio de Janeiro/RJ,Brazil,2020-03-09,3304557,4.0,RJ,6
Barra Mansa/RJ,Brazil,2020-03-09,3300407,0.0,RJ,1
Niterói/RJ,Brazil,2020-03-10,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-10,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-10,3547304,0.0,SP,1
Maceió/AL,Brazil,2020-03-10,2704302,0.0,AL,1
Rio de Janeiro/RJ,Brazil,2020-03-10,3304557,0.0,RJ,6
Feira de Santana/BA,Brazil,2020-03-10,2910800,0.0,BA,2
Barra Mansa/RJ,Brazil,2020-03-10,3300407,0.0,RJ,1
Campo Bom/RS,Brazil,2020-03-10,4303905,1.0,RS,1
Brasília/DF,Brazil,2020-03-10,5300108,1.0,DF,2
São Paulo/SP,Brazil,2020-03-10,3550308,3.0,SP,18
Vila Velha/ES,Brazil,2020-03-10,3205200,0.0,ES,1
Maceió/AL,Brazil,2020-03-11,2704302,0.0,AL,1
Niterói/RJ,Brazil,2020-03-11,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-11,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-11,3547304,0.0,SP,1
Campo Bom/RS,Brazil,2020-03-11,4303905,0.0,RS,1
Brasília/DF,Brazil,2020-03-11,5300108,0.0,DF,2
Rio de Janeiro/RJ,Brazil,2020-03-11,3304557,6.0,RJ,12
Barra Mansa/RJ,Brazil,2020-03-11,3300407,0.0,RJ,1
Porto Alegre/RS,Brazil,2020-03-11,4314902,1.0,RS,1
Feira de Santana/BA,Brazil,2020-03-11,2910800,1.0,BA,3
São Paulo/SP,Brazil,2020-03-11,3550308,26.0,SP,44
Vila Velha/ES,Brazil,2020-03-11,3205200,0.0,ES,1
Campo Bom/RS,Brazil,2020-03-12,4303905,0.0,RS,1
Rio Verde/GO,Brazil,2020-03-12,5218805,1.0,GO,1
Niterói/RJ,Brazil,2020-03-12,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-12,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-12,3547304,0.0,SP,1
Maceió/AL,Brazil,2020-03-12,2704302,0.0,AL,1
Feira de Santana/BA,Brazil,2020-03-12,2910800,0.0,BA,3
Barra Mansa/RJ,Brazil,2020-03-12,3300407,0.0,RJ,1
Natal/RN,Brazil,2020-03-12,2408102,1.0,RN,1
Goiânia/GO,Brazil,2020-03-12,5208707,2.0,GO,2
Ipatinga/MG,Brazil,2020-03-12,3131307,1.0,MG,1
Vila Velha/ES,Brazil,2020-03-12,3205200,1.0,ES,2
