cod_ibge,state,population
1100015,RO,25437
1100023,RO,107345
1100031,RO,6224
1100049,RO,88507
1100056,RO,17934
1100064,RO,18467
1100072,RO,8659
1100080,RO,17400
1100098,RO,33030
1100106,RO,47451
1100114,RO,55871
1100122,RO,132667
1100130,RO,38609
1100148,RO,21747
1100155,RO,39759
1100189,RO,38051
1100205,RO,519436
1100254,RO,22124
1100262,RO,3829
1100288,RO,57074
1100296,RO,8198
1100304,RO,95630
1100320,RO,24181
1100338,RO,28891
1100346,RO,16747
1100379,RO,14045
1100403,RO,20916
1100452,RO,39044
1100502,RO,10051
1100601,RO,6460
1100700,RO,14484
1100809,RO,25266
1100908,RO,3550
1100924,RO,10593
1100940,RO,22443
1101005,RO,9745
1101104,RO,10310
1101203,RO,10751
1101302,RO,12258
1101401,RO,16186
1101435,RO,7769
1101450,RO,5904
1101468,RO,2410
1101476,RO,3411
1101484,RO,5994
1101492,RO,19694
1101500,RO,12653
1101559,RO,4931
1101609,RO,11350
1101708,RO,13106
1101757,RO,11149
1101807,RO,8047
1200013,AC,14366
1200054,AC,6986
1200104,AC,24765
1200138,AC,9664
1200179,AC,11136
1200203,AC,82622
1200252,AC,17340
1200302,AC,32360
1200328,AC,7858
1200336,AC,17910
1200344,AC,8886
1200351,AC,17897
1200385,AC,18510
1200393,AC,11353
1200401,AC,383443
1200427,AC,17945
1200435,AC,6230
1200450,AC,21552
1200500,AC,43139
1200609,AC,40024
1200708,AC,18174
1200807,AC,17459
1300029,AM,15908
1300060,AM,11242
1300086,AM,12978
1300102,AM,20196
1300144,AM,21406
1300201,AM,19054
1300300,AM,38454
1300409,AM,27743
1300508,AM,31542
1300607,AM,41329
1300631,AM,18978
1300680,AM,18483
1300706,AM,34176
1300805,AM,40464
1300839,AM,12820
1300904,AM,15490
1301001,AM,28337
1301100,AM,37399
1301159,AM,29190
1301209,AM,84762
1301308,AM,27817
1301407,AM,34888
1301506,AM,19492
1301605,AM,19669
1301654,AM,16339
1301704,AM,53383
1301803,AM,28299
1301852,AM,47407
1301902,AM,99854
1301951,AM,8128
1302009,AM,9125
1302108,AM,4205
1302207,AM,13956
1302306,AM,15824
1302405,AM,44861
1302504,AM,96460
1302553,AM,30222
1302603,AM,2130264
1302702,AM,54708
1302801,AM,18531
1302900,AM,62212
1303007,AM,20902
1303106,AM,36431
1303205,AM,18586
1303304,AM,25112
1303403,AM,113832
1303502,AM,19597
1303536,AM,34574
1303569,AM,32001
1303601,AM,23765
1303700,AM,23075
1303809,AM,44553
1303908,AM,38047
1303957,AM,13421
1304005,AM,9211
